timestamp_ms,revid,cycle_count,gain_LSB_per_uT,x_uT,y_uT,z_uT,mag_uT,fx_uT,fy_uT,fz_uT,fmag_uT,lat_deg,lon_deg,alt_m,sats,hdop_m,spd_mps,course_deg,fix_valid
1880,34,200,74.92,-29.351309,7.03417,37.226376,47.924755,-29.737856,10.03684,36.494396,48.134388,,,,0,,,,0
2386,34,200,74.92,-30.285639,7.768286,35.83823,47.559906,-29.70956,9.90817,36.518421,48.108471,,,,0,,,,0
2889,34,200,74.92,-28.777363,10.624666,37.239723,48.247456,-29.632679,9.886813,36.583561,48.106152,,,,0,,,,0
3393,34,200,74.92,-33.902832,8.021891,35.771492,49.933479,-29.779503,9.760813,36.57288,48.16293,,,,0,,,,0
3896,34,200,74.92,-33.302189,6.313401,36.425522,49.756542,-29.909241,9.57982,36.583023,48.214661,,,,0,,,,0
4399,34,200,74.92,-35.477844,6.807261,32.554726,48.629482,-30.114792,9.42125,36.44688,48.208252,,,,0,,,,0
4902,34,200,74.92,-35.064068,6.166578,29.67165,46.345684,-30.296318,9.239189,36.199146,48.099976,,,,0,,,,0
5405,34,200,74.92,-33.675922,-0.293647,30.939671,45.732014,-30.42926,8.809397,35.992527,47.947964,,,,0,,,,0
5908,34,200,74.92,-35.077415,1.735184,30.779499,46.699181,-30.616125,8.456488,35.785904,47.848618,,,,0,,,,0
6411,34,200,74.92,-32.301121,-3.804058,29.991993,44.241982,-30.685532,7.860652,35.553123,47.617393,,,,0,,,,0
6914,34,200,74.92,-30.712761,-13.561132,25.640684,42.244793,-30.70849,6.874,35.132946,47.165531,,,,0,,,,0
7418,34,200,74.92,-29.418047,-14.749066,25.453817,41.603523,-30.70849,5.848906,34.681797,46.690987,,,,0,,,,0
7921,34,200,74.92,-22.851042,-11.492259,32.301121,41.201996,-30.464497,4.949814,34.493332,46.285809,,,,0,,,,0
8424,34,200,74.92,-26.494928,-13.24079,28.57715,41.157661,-30.380674,3.975441,34.148964,45.879639,,,,0,,,,0
8927,34,200,74.92,-26.748533,-11.385478,29.111052,41.140812,-30.303257,3.066205,33.832359,45.522717,,,,0,,,,0
9430,34,200,74.92,-21.863321,-8.876135,34.369995,41.690372,-30.016018,2.273893,33.732521,45.210781,,,,0,,,,0
9933,34,200,74.92,-20.888948,-8.46236,36.906033,43.243671,-29.684465,1.508276,33.734657,44.960754,,,,0,,,,0
10436,34,200,74.92,-21.035772,-10.117459,38.441006,44.973076,-29.370529,0.682863,33.791782,44.776989,,,,0,,,,0
10939,34,200,74.92,-16.003738,-9.930593,39.361988,43.636021,-28.868662,-0.097703,33.875072,44.507637,,,,0,,,,0
11443,34,200,74.92,-16.844635,-11.839295,38.561134,43.71352,-28.389751,-0.927922,33.931664,44.251518,,,,0,,,,0
11946,34,200,74.92,-15.616658,-6.780566,41.510944,44.866631,-27.844637,-1.546716,34.116398,44.064098,,,,0,,,,0
12449,34,200,74.92,-12.773625,-8.635879,41.150562,43.944427,-27.153767,-2.240255,34.308601,43.811253,,,,0,,,,0
12952,34,200,74.92,-13.707955,-7.100908,39.935932,42.815998,-26.48105,-2.846769,34.457027,43.550396,,,,0,,,,0
13455,34,200,74.92,-11.118526,-1.735184,41.497597,42.996315,-25.716501,-3.209823,34.652435,43.271614,,,,0,,,,0
13958,34,200,74.92,-9.303257,-3.8441,42.164978,43.349892,-24.903902,-3.655098,34.856918,42.994987,,,,0,,,,0
14462,34,200,74.92,-11.879338,0.947678,42.298454,43.945148,-24.205023,-3.898558,35.059803,42.781673,,,,0,,,,0
14968,34,200,74.92,-8.529098,2.722904,40.790176,41.761204,-23.334761,-4.100373,35.257881,42.478725,,,,0,,,,0
15471,34,200,74.92,-10.4378,-1.788575,39.989323,41.367771,-22.601179,-4.596902,35.367863,42.223579,,,,0,,,,0
15975,34,200,74.92,-9.156434,-2.349173,39.842499,40.948547,-21.611322,-5.011745,35.530704,41.88792,,,,0,,,,0
16478,34,200,74.92,-8.662574,-5.2189,38.908169,40.201027,-20.62574,-5.473037,35.630009,41.53159,,,,0,,,,0
16981,34,200,74.92,-6.486919,-6.687133,37.439938,38.581688,-19.466103,-6.012813,35.825417,41.21339,,,,0,,,,0
17484,34,200,74.92,-3.510411,-3.109984,36.518955,36.818867,-18.203957,-6.383876,36.099308,40.930405,,,,0,,,,0
17987,34,200,74.92,-0.680726,-0.854245,37.947144,37.96286,-16.884148,-6.4063,36.379608,40.615158,,,,0,,,,0
18490,34,200,74.92,-11.865991,10.798185,35.798187,39.228977,-15.955691,-6.043779,36.580353,40.363766,,,,0,,,,0
18993,34,200,74.92,-9.850508,7.03417,35.197544,37.22068,-15.057666,-5.61025,36.788578,40.144833,,,,0,,,,0
19496,34,200,74.92,-6.206621,7.875067,36.238655,37.60025,-14.07742,-4.752802,37.212494,40.069099,,,,0,,,,0
19999,34,200,74.92,-15.603311,7.835024,33.809399,38.051628,-13.524832,-3.849438,37.546719,40.093582,,,,0,,,,0
20503,34,200,74.92,-20.488522,12.319808,33.542446,41.190445,-13.430331,-2.896956,37.596371,40.028156,,,,0,,,,0
21006,34,200,74.92,-35.144154,16.484251,37.359852,53.87579,-13.7763,-1.707954,37.947681,40.407055,,,,0,,,,0
21509,34,200,74.92,-18.619862,19.23385,46.169247,53.3689,-13.451154,-0.483181,38.630009,40.907757,,,,0,,,,0
22012,34,200,74.92,-0.49386,11.572344,51.134544,52.43,-12.596375,0.334758,39.300587,41.271259,,,,0,,,,0
22515,34,200,74.92,13.561132,20.475174,47.223705,53.227955,-11.218371,1.492259,39.713295,41.294365,,,,0,,,,0
23018,34,200,74.92,-8.101975,22.19701,39.468769,46.001446,-10.701019,2.784838,39.754406,41.263542,,,,0,,,,0
23521,34,200,74.92,-4.77843,13.507742,38.868126,41.424915,-10.252007,3.722372,39.734653,41.204399,,,,0,,,,0
24024,34,200,74.92,-6.753871,5.045382,39.602242,40.489605,-9.848376,4.397759,39.776299,41.212677,,,,0,,,,0
24528,34,200,74.92,-8.07528,11.105179,39.402031,41.725952,-9.546721,5.113188,39.691944,41.14286,,,,0,,,,0
25031,34,200,74.92,-8.07528,23.331554,34.436733,42.372871,-9.358788,6.391886,39.423389,41.020077,,,,0,,,,0
25534,34,200,74.92,5.298985,26.695143,33.782703,43.381805,-8.59851,7.743728,39.177261,40.85043,,,,0,,,,0
26037,34,200,74.92,9.690336,26.935398,32.634811,43.410244,-7.766155,8.890552,38.82275,40.577839,,,,0,,,,0
26540,34,200,74.92,13.934864,23.638548,33.302189,43.150864,-6.83663,9.989857,38.468239,40.327934,,,,0,,,,0
27044,34,200,74.92,12.439937,23.678591,32.381207,41.999645,-5.863859,10.899095,38.071548,40.032711,,,,0,,,,0
27550,34,200,74.92,10.397758,23.945543,33.222103,42.251751,-5.106784,11.747999,37.768826,39.882061,,,,0,,,,0
28053,34,200,74.92,11.358783,21.876669,34.196476,42.154591,-4.234921,12.69461,37.537113,39.851257,,,,0,,,,0
28556,34,200,74.92,8.40897,16.964764,38.828083,43.198772,-3.532305,13.467167,37.496536,39.997902,,,,0,,,,0
29059,34,200,74.92,8.90283,20.541912,37.506676,43.680443,-2.829689,14.497599,37.440475,40.248936,,,,0,,,,0
29562,34,200,74.92,6.006407,20.301655,37.85371,43.372082,-2.329956,15.577151,37.457027,40.633793,,,,0,,,,0
30066,34,200,74.92,6.780566,18.726643,37.720238,42.655357,-1.918317,16.450617,37.505077,40.999191,,,,0,,,,0
30569,34,200,74.92,8.368927,17.685532,37.960491,42.706158,-1.556331,17.192207,37.505611,41.28759,,,,0,,,,0
31072,34,200,74.92,6.873999,15.376402,38.41431,41.944546,-0.806731,17.375336,37.61026,41.437721,,,,0,,,,0
31575,34,200,74.92,7.794981,13.854779,38.654568,41.795841,-0.100911,17.648161,37.748539,41.670372,,,,0,,,,0
32078,34,200,74.92,9.583556,13.534437,38.601177,42.012814,0.530696,17.874535,37.84304,41.855423,,,,0,,,,0
32581,34,200,74.92,13.307528,15.643353,36.839294,42.177464,1.687129,18.186867,37.964237,42.129467,,,,0,,,,0
33084,34,200,74.92,16.991459,13.214095,37.253071,43.024567,3.186328,18.222639,38.112663,42.36499,,,,0,,,,0
33587,34,200,74.92,17.25841,4.644955,40.670048,44.423878,5.282431,17.749067,38.245071,42.492577,,,,0,,,,0
34091,34,200,74.92,16.15056,-1.294714,42.939137,45.894295,6.673248,16.927925,38.115868,42.236313,,,,0,,,,0
34594,34,200,74.92,10.144154,-6.006407,39.52216,41.242962,7.098769,16.224775,37.651371,41.608433,,,,0,,,,0
35097,34,200,74.92,-0.467165,-3.8441,30.472506,30.717567,6.537637,15.252005,36.981323,40.533722,,,,0,,,,0
35600,34,200,74.92,7.47464,2.349173,20.395088,21.848307,7.160701,14.458091,36.218376,39.649498,,,,0,,,,0
36103,34,200,74.92,6.460225,12.439937,29.431395,32.59898,7.610248,14.415379,35.840908,39.373718,,,,0,,,,0
36606,34,200,74.92,6.193273,15.589963,32.968502,36.990887,8.128134,14.837162,35.575558,39.39325,,,,0,,,,0
37109,34,200,74.92,1.641751,14.255206,36.131874,38.876968,8.516814,14.963162,35.444752,39.405113,,,,0,,,,0
37612,34,200,74.92,1.561666,13.921516,37.413242,39.949947,8.902292,14.586761,35.563812,39.456421,,,,0,,,,0
38116,34,200,74.92,-0.947678,13.307528,38.400963,40.652458,8.652426,14.051257,35.748547,39.373352,,,,0,,,,0
38619,34,200,74.92,-0.480513,14.415377,39.255207,41.82111,8.245592,13.550457,36.013363,39.351837,,,,0,,,,0
39122,34,200,74.92,-0.040043,12.666845,40.00267,41.96027,7.686595,13.111588,36.281384,39.336197,,,,0,,,,0
39626,34,200,74.92,-1.348105,13.507742,40.403099,42.622608,7.135074,12.704755,36.602257,39.396008,,,,0,,,,0
40132,34,200,74.92,2.843033,11.865991,40.60331,42.397091,6.832885,12.221572,36.897507,39.464935,,,,0,,,,0
40635,34,200,74.92,0.413775,12.159637,40.45649,42.246368,6.395085,11.832891,37.147907,39.507992,,,,0,,,,0
41138,34,200,74.92,3.270155,11.599039,40.056061,41.829651,6.189532,11.618261,37.197025,39.457737,,,,0,,,,0
41641,34,200,74.92,-2.108916,8.742659,39.642284,40.649628,5.749063,11.146292,37.282452,39.335388,,,,0,,,,0
42144,34,200,74.92,-2.482648,8.942873,39.321945,40.402401,5.4095,10.691939,37.341183,39.216633,,,,0,,,,0
42647,34,200,74.92,-4.418046,8.07528,38.320877,39.410896,4.961556,10.265885,37.365208,39.066151,,,,0,,,,0
43150,34,200,74.92,-4.444741,7.261079,37.132942,38.096382,4.449009,9.848907,37.332104,38.864902,,,,0,,,,0
43654,34,200,74.92,2.709557,10.918313,35.010677,36.773617,4.282431,9.670584,37.195961,38.670387,,,,0,,,,0
44157,34,200,74.92,3.136679,14.135077,31.246664,34.438251,4.096099,9.681796,36.899643,38.367939,,,,0,,,,0
44660,34,200,74.92,6.420182,16.257341,27.816338,32.852222,3.969564,9.790711,36.46825,37.967731,,,,0,,,,0
45163,34,200,74.92,4.898559,20.501869,27.896423,34.964737,3.633206,9.985052,36.110535,37.641361,,,,0,,,,0
45666,34,200,74.92,6.753871,21.583023,32.127605,39.28899,3.223702,10.31981,35.905514,37.497955,,,,0,,,,0
46169,34,200,74.92,6.740523,20.501869,34.676991,40.844276,2.802987,10.954085,35.665794,37.415207,,,,0,,,,0
46672,34,200,74.92,3.830753,22.704218,33.595837,40.728817,2.310194,11.914043,35.292061,37.320385,,,,0,,,,0
47175,34,200,74.92,8.582488,23.932196,33.63588,42.163746,2.247728,13.111587,35.05661,37.495758,,,,0,,,,0
47679,34,200,74.92,1.201281,24.479445,33.115322,41.198433,2.314466,14.244529,35.162323,38.008583,,,,0,,,,0
48182,34,200,74.92,5.726108,26.094501,32.768288,42.278507,2.244524,15.194342,35.657249,38.824547,,,,0,,,,0
48685,34,200,74.92,2.135611,26.628405,33.262146,42.661495,2.07154,15.761881,35.810482,39.180592,,,,0,,,,0
49188,34,200,74.92,1.588361,29.618259,31.607048,43.344776,1.887343,16.323013,35.756023,39.350937,,,,0,,,,0
49691,34,200,74.92,0.186866,29.444742,31.914042,43.422733,1.829148,16.930595,35.587311,39.451839,,,,0,,,,0
50194,34,200,74.92,0.013348,30.872932,31.086493,43.812191,1.767215,17.60865,35.33424,39.518303,,,,0,,,,0
50697,34,200,74.92,1.828617,29.538176,31.713829,43.377583,1.878267,18.257877,35.066757,39.579735,,,,0,,,,0
51200,34,200,74.92,-0.974373,32.394554,28.777363,43.341587,1.858513,18.977045,34.64764,39.547962,,,,0,,,,0
51704,34,200,74.92,0.306994,32.98185,28.203417,43.397343,1.872394,19.789644,34.175671,39.536217,,,,0,,,,0
52208,34,200,74.92,1.401495,32.75494,28.57715,43.491425,1.982378,20.559534,33.702633,39.528366,,,,0,,,,0
52714,34,200,74.92,6.09984,30.899628,29.164442,42.925049,2.112651,21.320879,33.245079,39.550961,,,,0,,,,0
53217,34,200,74.92,2.509343,29.751736,29.23118,41.78426,2.196474,22.024563,32.79607,39.56625,,,,0,,,,0
53720,34,200,74.92,2.095569,30.072077,29.644955,42.279362,2.14949,22.763483,32.379623,39.638824,,,,0,,,,0
54223,34,200,74.92,-1.962093,28.416979,31.206621,42.251953,2.155363,23.550457,32.042198,39.824265,,,,0,,,,0
54726,34,200,74.92,-2.629472,29.044315,30.779499,42.401226,2.14949,24.354515,31.7005,40.033543,,,,0,,,,0
55229,34,200,74.92,-0.306994,28.563803,31.233316,42.326176,2.313932,25.174055,31.416998,40.325119,,,,0,,,,0
55732,34,200,74.92,-0.427122,28.990925,31.113188,42.528656,2.474637,26.043249,31.176207,40.69804,,,,0,,,,0
56235,34,200,74.92,5.379071,30.16551,30.619328,43.317844,2.581418,26.813137,31.000551,41.068748,,,,0,,,,0
56738,34,200,74.92,1.254672,30.525894,30.565937,43.216675,2.506137,27.468769,30.973322,41.474819,,,,0,,,,0
57242,34,200,74.92,3.416978,30.726109,29.391352,42.657017,2.386009,28.04752,31.036324,41.899998,,,,0,,,,0
57745,34,200,74.92,3.150027,29.030968,30.325682,42.099487,2.316068,28.388683,31.133493,42.196873,,,,0,,,,0
58248,34,200,74.92,3.203417,30.39242,29.791779,42.679165,2.17405,28.74106,31.040062,42.358711,,,,0,,,,0
58751,34,200,74.92,2.282435,30.806194,30.365725,43.316376,1.995726,29.153233,30.867609,42.505329,,,,0,,,,0
59254,34,200,74.92,2.082221,31.260012,30.44581,43.686054,1.925785,29.495464,30.74161,42.64666,,,,0,,,,0
59757,34,200,74.92,2.189002,30.779499,31.059797,43.782192,1.670045,29.769356,30.638565,42.751904,,,,0,,,,0
60260,34,200,74.92,1.308062,31.633743,31.006407,44.314804,1.674317,30.055527,30.554209,42.891697,,,,0,,,,0
60763,34,200,74.92,4.071009,31.113188,31.166578,44.226227,1.608113,30.256275,30.490141,42.984612,,,,0,,,,0
61267,34,200,74.92,4.791778,31.54031,30.178858,43.914871,1.714359,30.452751,30.36681,43.040123,,,,0,,,,0
61770,34,200,74.92,8.996263,30.459158,29.284571,43.200455,2.010675,30.486387,30.273911,43.011303,,,,0,,,,0
